SensorID,Humidity,Temperature,Date,Time
633384,51.66,22.1,2022-11-15,13:08:00
633384,51.65,22.2,2022-11-15,12:48:00
633384,51.7,22.1,2022-11-15,12:28:00
633384,51.08,22.0,2022-11-15,12:08:00
633384,50.33,21.9,2022-11-15,11:48:00
633384,50.38,21.7,2022-11-15,11:28:00
633384,50.22,21.8,2022-11-15,11:08:00
633384,50.01,21.7,2022-11-15,10:48:00
633384,50.11,21.5,2022-11-15,10:28:00
633384,48.85,21.4,2022-11-15,10:08:00
633384,47.87,21.3,2022-11-15,09:48:00
633384,47.66,21.3,2022-11-15,09:28:00
633384,44.35,21.3,2022-11-15,09:08:00
633384,43.08,21.0,2022-11-15,08:48:00
633384,41.9,21.2,2022-11-15,08:28:00
633384,41.84,21.5,2022-11-15,08:08:00
633384,42.58,21.2,2022-11-15,07:48:00
633384,42.66,21.0,2022-11-15,07:28:00
633384,42.52,21.3,2022-11-15,07:08:00
633384,42.67,21.2,2022-11-15,06:48:00
633384,43.06,21.2,2022-11-15,06:28:00
633384,44.54,20.6,2022-11-15,06:08:00
633384,45.13,20.7,2022-11-15,05:48:00
633384,45.33,20.7,2022-11-15,05:28:00
633384,45.41,20.8,2022-11-15,05:08:00
633384,45.55,20.8,2022-11-15,04:48:00
633384,45.52,20.8,2022-11-15,04:28:00
633384,45.48,20.8,2022-11-15,04:08:00
633384,45.38,20.8,2022-11-15,03:48:00
633384,45.32,20.8,2022-11-15,03:28:00
633384,45.22,20.9,2022-11-15,03:08:00
633384,45.13,20.9,2022-11-15,02:48:00
633384,45.09,20.9,2022-11-15,02:28:00
633384,45.02,20.9,2022-11-15,02:08:00
633384,45.02,20.9,2022-11-15,01:48:00
633384,44.98,21.0,2022-11-15,01:28:00
633384,45.0,21.0,2022-11-15,01:08:00
633384,45.03,21.0,2022-11-15,00:48:00
633384,44.97,21.1,2022-11-15,00:28:00
633384,44.91,21.1,2022-11-15,00:08:00
633384,44.8,21.1,2022-11-14,23:48:00
633384,44.65,21.2,2022-11-14,23:28:00
633384,44.47,21.2,2022-11-14,23:08:00
633384,44.21,21.3,2022-11-14,22:48:00
