SensorID,Date,Time,x,y,z,xFreq,yFreq,zFreq
814111,11/15/2022,11:30 am,0,0,0,0,0,0
814111,11/15/2022,11:20 am,0,0,0,0,0,0
814111,11/15/2022,11:10 am,0,0,0,0,0,0
814111,11/15/2022,11:00 am,0,0,0,0,0,0
814111,11/15/2022,10:50 am,0,0,0,0,0,0
814111,11/15/2022,10:40 am,0,0,0,0,0,0
814111,11/15/2022,10:40 am,0,0,0,0,0,0
814111,11/15/2022,10:30 am,0,0,0,0,0,0
814111,11/15/2022,10:20 am,0,0,0,0,0,0
814111,11/15/2022,10:10 am,0,0,0,0,0,0
814111,11/15/2022,10:00 am,0,0,0,0,0,0
814111,11/15/2022,9:50 am,0,0,0,0,0,0
814111,11/15/2022,9:40 am,0,0,0,0,0,0
814111,11/15/2022,9:30 am,0,0,0,0,0,0
814111,11/15/2022,9:30 am,0,0,0,0,0,0
814111,11/15/2022,9:30 am,0.5,0.7,0.5,11,10,13
814111,11/15/2022,9:20 am,0.5,0.9,0.5,18,13,15
814111,11/15/2022,9:10 am,0.6,1.3,0.7,14,12,14
814111,11/15/2022,9:00 am,0.5,0.8,0.6,11,13,15
814111,11/15/2022,8:50 am,0.5,0.7,0.5,12,13,10
814111,11/15/2022,8:40 am,0.5,0.7,0.5,13,10,12
814111,11/15/2022,8:30 am,0.5,0.6,0.5,13,17,12
814111,11/15/2022,8:20 am,0.5,0.7,0.5,11,12,13
814111,11/15/2022,8:10 am,0.5,0.6,0.5,13,12,13
814111,11/15/2022,8:00 am,0.5,0.7,0.5,14,11,12
814111,11/15/2022,7:50 am,0.5,0.7,0.5,11,12,12
814111,11/15/2022,7:40 am,0.5,0.6,0.5,15,11,12
814111,11/15/2022,7:30 am,0.4,0.6,0.5,11,13,13
814111,11/15/2022,7:20 am,0.5,0.6,0.5,11,13,11
814111,11/15/2022,7:10 am,0.5,0.6,0.5,11,12,12
814111,11/15/2022,7:00 am,0.5,0.6,0.5,12,12,12
814111,11/15/2022,6:50 am,0.5,0.6,0.5,17,12,12
814111,11/15/2022,6:40 am,0.4,0.6,0.5,11,11,14
814111,11/15/2022,6:30 am,0.5,0.6,0.5,12,13,12
814111,11/15/2022,6:20 am,0.5,0.7,0.5,12,14,13
814111,11/15/2022,6:10 am,0.5,0.6,0.5,11,12,11
814111,11/15/2022,6:00 am,0.5,0.6,0.4,13,14,12
814111,11/15/2022,5:50 am,0.5,0.6,0.5,13,11,12
814111,11/15/2022,5:40 am,0.5,0.6,0.4,14,11,13
814111,11/15/2022,5:30 am,0.5,0.6,0.5,12,13,13
814111,11/15/2022,5:20 am,0.5,0.6,0.5,11,11,10
814111,11/15/2022,5:10 am,0.5,0.6,0.4,12,12,11
814111,11/15/2022,5:00 am,0.5,0.6,0.5,8,11,14
814111,11/14/2022,7:54 pm,0.5,0.7,0.5,14,12,13
814111,11/14/2022,7:44 pm,0.5,0.7,0.4,12,13,14
814111,11/14/2022,7:34 pm,0.5,0.7,0.5,13,12,13
814111,11/14/2022,7:24 pm,0.5,0.6,0.5,11,12,13
814111,11/14/2022,7:14 pm,0.5,0.7,0.5,14,12,14
814111,11/14/2022,7:04 pm,0.5,0.6,0.5,12,13,14
814111,11/14/2022,6:54 pm,0.5,0.6,0.5,12,12,13
